
---------- Begin Simulation Statistics ----------
system.cpu.dcache.ReadReq_misses::cpu.data      1515988                       # number of ReadReq misses
system.cpu.dcache.ReadReq_misses::total       1515988                       # number of ReadReq misses
system.cpu.dcache.WriteReq_misses::cpu.data       999421                       # number of WriteReq misses
system.cpu.dcache.WriteReq_misses::total       999421                       # number of WriteReq misses
system.cpu.dcache.demand_misses::cpu.data      2515409                       # number of demand (read+write) misses
system.cpu.dcache.demand_misses::total        2515409                       # number of demand (read+write) misses
system.cpu.dcache.overall_misses::cpu.data      2515409                       # number of overall misses
system.cpu.dcache.overall_misses::total       2515409                       # number of overall misses
system.cpu.dcache.ReadReq_miss_latency::cpu.data 160694737000                       # number of ReadReq miss cycles
system.cpu.dcache.ReadReq_miss_latency::total 160694737000                       # number of ReadReq miss cycles
system.cpu.dcache.WriteReq_miss_latency::cpu.data 105938626000                       # number of WriteReq miss cycles
system.cpu.dcache.WriteReq_miss_latency::total 105938626000                       # number of WriteReq miss cycles
system.cpu.dcache.demand_miss_latency::cpu.data 266633363000                       # number of demand (read+write) miss cycles
system.cpu.dcache.demand_miss_latency::total 266633363000                       # number of demand (read+write) miss cycles
system.cpu.dcache.overall_miss_latency::cpu.data 266633363000                       # number of overall miss cycles
system.cpu.dcache.overall_miss_latency::total 266633363000                       # number of overall miss cycles
system.cpu.dcache.ReadReq_accesses::cpu.data      1537174                       # number of ReadReq accesses(hits+misses)
system.cpu.dcache.ReadReq_accesses::total      1537174                       # number of ReadReq accesses(hits+misses)
system.cpu.dcache.WriteReq_accesses::cpu.data      1020624                       # number of WriteReq accesses(hits+misses)
system.cpu.dcache.WriteReq_accesses::total      1020624                       # number of WriteReq accesses(hits+misses)
system.cpu.dcache.demand_accesses::cpu.data      2557798                       # number of demand (read+write) accesses
system.cpu.dcache.demand_accesses::total      2557798                       # number of demand (read+write) accesses
system.cpu.dcache.overall_accesses::cpu.data      2557798                       # number of overall (read+write) accesses
system.cpu.dcache.overall_accesses::total      2557798                       # number of overall (read+write) accesses
system.cpu.dcache.ReadReq_miss_rate::cpu.data     0.986218                       # miss rate for ReadReq accesses
system.cpu.dcache.ReadReq_miss_rate::total     0.986218                       # miss rate for ReadReq accesses
system.cpu.dcache.WriteReq_miss_rate::cpu.data     0.979225                       # miss rate for WriteReq accesses
system.cpu.dcache.WriteReq_miss_rate::total     0.979225                       # miss rate for WriteReq accesses
system.cpu.dcache.demand_miss_rate::cpu.data     0.983428                       # miss rate for demand accesses
system.cpu.dcache.demand_miss_rate::total     0.983428                       # miss rate for demand accesses
system.cpu.dcache.overall_miss_rate::cpu.data     0.983428                       # miss rate for overall accesses
system.cpu.dcache.overall_miss_rate::total     0.983428                       # miss rate for overall accesses
system.cpu.dcache.ReadReq_avg_miss_latency::cpu.data 106000.005937                       # average ReadReq miss latency
system.cpu.dcache.ReadReq_avg_miss_latency::total 106000.005937                       # average ReadReq miss latency
system.cpu.dcache.WriteReq_avg_miss_latency::cpu.data       106000                       # average WriteReq miss latency
system.cpu.dcache.WriteReq_avg_miss_latency::total       106000                       # average WriteReq miss latency
system.cpu.dcache.demand_avg_miss_latency::cpu.data 106000.003578                       # average overall miss latency
system.cpu.dcache.demand_avg_miss_latency::total 106000.003578                       # average overall miss latency
system.cpu.dcache.overall_avg_miss_latency::cpu.data 106000.003578                       # average overall miss latency
system.cpu.dcache.overall_avg_miss_latency::total 106000.003578                       # average overall miss latency
system.cpu.dcache.blocked_cycles::no_mshrs            0                       # number of cycles access was blocked
system.cpu.dcache.blocked_cycles::no_targets            0                       # number of cycles access was blocked
system.cpu.dcache.blocked::no_mshrs                 0                       # number of cycles access was blocked
system.cpu.dcache.blocked::no_targets               0                       # number of cycles access was blocked
system.cpu.dcache.avg_blocked_cycles::no_mshrs          nan                       # average number of cycles each access was blocked
system.cpu.dcache.avg_blocked_cycles::no_targets          nan                       # average number of cycles each access was blocked
system.cpu.dcache.fast_writes                       0                       # number of fast writes performed
system.cpu.dcache.cache_copies                      0                       # number of cache copies performed
system.cpu.dcache.writebacks::writebacks       999483                       # number of writebacks
system.cpu.dcache.writebacks::total            999483                       # number of writebacks
system.cpu.dcache.ReadReq_mshr_misses::cpu.data      1515988                       # number of ReadReq MSHR misses
system.cpu.dcache.ReadReq_mshr_misses::total      1515988                       # number of ReadReq MSHR misses
system.cpu.dcache.WriteReq_mshr_misses::cpu.data       999421                       # number of WriteReq MSHR misses
system.cpu.dcache.WriteReq_mshr_misses::total       999421                       # number of WriteReq MSHR misses
system.cpu.dcache.demand_mshr_misses::cpu.data      2515409                       # number of demand (read+write) MSHR misses
system.cpu.dcache.demand_mshr_misses::total      2515409                       # number of demand (read+write) MSHR misses
system.cpu.dcache.overall_mshr_misses::cpu.data      2515409                       # number of overall MSHR misses
system.cpu.dcache.overall_mshr_misses::total      2515409                       # number of overall MSHR misses
system.cpu.dcache.ReadReq_mshr_miss_latency::cpu.data 154630785000                       # number of ReadReq MSHR miss cycles
system.cpu.dcache.ReadReq_mshr_miss_latency::total 154630785000                       # number of ReadReq MSHR miss cycles
system.cpu.dcache.WriteReq_mshr_miss_latency::cpu.data 101940942000                       # number of WriteReq MSHR miss cycles
system.cpu.dcache.WriteReq_mshr_miss_latency::total 101940942000                       # number of WriteReq MSHR miss cycles
system.cpu.dcache.demand_mshr_miss_latency::cpu.data 256571727000                       # number of demand (read+write) MSHR miss cycles
system.cpu.dcache.demand_mshr_miss_latency::total 256571727000                       # number of demand (read+write) MSHR miss cycles
system.cpu.dcache.overall_mshr_miss_latency::cpu.data 256571727000                       # number of overall MSHR miss cycles
system.cpu.dcache.overall_mshr_miss_latency::total 256571727000                       # number of overall MSHR miss cycles
system.cpu.dcache.ReadReq_mshr_miss_rate::cpu.data     0.986218                       # mshr miss rate for ReadReq accesses
system.cpu.dcache.ReadReq_mshr_miss_rate::total     0.986218                       # mshr miss rate for ReadReq accesses
system.cpu.dcache.WriteReq_mshr_miss_rate::cpu.data     0.979225                       # mshr miss rate for WriteReq accesses
system.cpu.dcache.WriteReq_mshr_miss_rate::total     0.979225                       # mshr miss rate for WriteReq accesses
system.cpu.dcache.demand_mshr_miss_rate::cpu.data     0.983428                       # mshr miss rate for demand accesses
system.cpu.dcache.demand_mshr_miss_rate::total     0.983428                       # mshr miss rate for demand accesses
system.cpu.dcache.overall_mshr_miss_rate::cpu.data     0.983428                       # mshr miss rate for overall accesses
system.cpu.dcache.overall_mshr_miss_rate::total     0.983428                       # mshr miss rate for overall accesses
system.cpu.dcache.ReadReq_avg_mshr_miss_latency::cpu.data 102000.005937                       # average ReadReq mshr miss latency
system.cpu.dcache.ReadReq_avg_mshr_miss_latency::total 102000.005937                       # average ReadReq mshr miss latency
system.cpu.dcache.WriteReq_avg_mshr_miss_latency::cpu.data       102000                       # average WriteReq mshr miss latency
system.cpu.dcache.WriteReq_avg_mshr_miss_latency::total       102000                       # average WriteReq mshr miss latency
system.cpu.dcache.demand_avg_mshr_miss_latency::cpu.data 102000.003578                       # average overall mshr miss latency
system.cpu.dcache.demand_avg_mshr_miss_latency::total 102000.003578                       # average overall mshr miss latency
system.cpu.dcache.overall_avg_mshr_miss_latency::cpu.data 102000.003578                       # average overall mshr miss latency
system.cpu.dcache.overall_avg_mshr_miss_latency::total 102000.003578                       # average overall mshr miss latency
system.cpu.dcache.no_allocate_misses                0                       # Number of misses that were no-allocate

---------- End Simulation Statistics   ----------
